,кратк_обязат_lag2,выручка_lag1,кредит_задол_lag1,немат_активы_lag1,прибыль_lag2,немат_активы_lag2,заемн_ср_кратк_lag3,внеоб_активы_lag3,долгоср_обязат_lag1,ук_lag3,заемн_ср_кратк_lag2,прибыль_до_налога_lag2,прибыль_lag3
0,3577885350.318471,27947875159.23567,3333519745.22293,2332484.076433121,3658633757.961783,9885987.261146495,392391719.7452229,2440077707.006369,217473885.3503185,629400000.0,0.0,3603784076.433121,871619108.2802547
1,216409554.1401274,2583063057.324841,173147770.7006369,18444585.98726115,-120721019.1082803,4958598.726114649,0.0,1018682165.605096,5629299.363057325,19644585.98726115,0.0,-645643949.044586,-92989808.91719744
2,31322370700.63694,96299566878.98088,6004639490.44586,347770.7006369426,56221224840.76433,398726.1146496815,13562033757.96178,100154213375.7962,90765895541.40128,595541.4012738853,25736810191.0828,49604078343.94904,53075239490.44585
3,18160373248.40764,62492997452.22929,5473999363.057324,22221019.10828025,34805550318.47134,24894904.45859873,3446008280.254777,36543041401.27389,3321966878.980892,1983439.49044586,1503112738.853503,32952542038.21656,30425531847.13376
4,8130221656.050955,66286513375.79617,8018418471.33758,391719.7452229299,5430333121.019108,441401.2738853503,711331210.1910827,42873052229.29936,34825424840.76433,2717197.452229299,1390140127.388535,4937961146.496815,20944695541.40127
5,44586624.20382165,267527388.5350318,23868152.86624204,0.0,16619745.22292994,0.0,11165605.0955414,74730573.24840765,1267515.923566879,111464.9681528662,13996815.2866242,12585350.31847134,16398726.11464968
6,228864331.2101911,1415543312.101911,78599363.05732484,0.0,65621656.05095541,0.0,31847133.75796178,438275159.2356688,205937579.6178344,170700.6369426752,87840127.38853502,53671974.52229299,65754140.12738853
7,107124840.7643312,142420382.1656051,63626114.64968152,7643.312101910828,-28285987.2611465,9554.140127388537,33610828.02547771,31733121.01910828,233121.0191082802,87898.08917197451,0.0,-31038216.56050955,7669426.751592357
8,292484713.3757961,531955414.0127388,327145222.9299363,0.0,27930573.24840764,0.0,66878980.89171974,58635031.84713376,117584713.3757962,720382.1656050956,27834394.9044586,9601910.828025475,24694904.45859873
9,5690636305.732484,2004486624.203822,5402819745.22293,0.0,159353503.1847134,0.0,0.0,5259647133.757961,0.0,170700.6369426752,0.0,54171337.57961784,29682802.5477707
